ID;NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;meaning;syntactic_function
;bocca a bocca;idiosyncratic;a;bocca;Neppure le mura del carcere possono trattenere le parole del Marchese: la bella lavandaia Madeleine (Kate Winslet) le fa uscire con la biancheria, le ricopia dalle lenzuola del recluso, le trascrive raccogliendo il;bocca a bocca;che, dalla cella dello scrittore, attraversa quelle dei ricoverati di Charenton.;sg;idiosyncratic;nominal
;bocca a bocca;idiosyncratic;a;bocca;D'altra parte, quando lenta, ostinata e inesorabile, un'ora prima sfiorava i palazzi, le cupole e i campanili più agili e ariosi del mondo, noi, che da un'altana osservavamo il suo;bocca a bocca;con Palazzo Ducale, San Giorgio Maggiore, la chiesa della Salute, avevamo la netta impressione che la nave fosse Venezia, e che la città senza radici e senza identità fosse invece questa Msc Preziosa, con il suo esotismo omologato, il dominio di un ordine finto aldilàdi ogni misura e di ogni codice, il triangolo delle Bermude delle identità perdute delle città del mondo ormai alla deriva, il luccicante spazio - spazzatura inventato dall'architetto Koolhaas che proprio quest'anno dirigerà la Biennale: 140mila tonnellate di junkspace, 68 metri d'altezza, 4.345 passeggeri, 1.751 cabine, 97 suite con maggiordomo personale in tight e guanti bianchi, il teatro Platinum con 1.600 posti, 4 piscine, 12 jacuzzi, 9 ristoranti (uno Eataly) e 26 ascensori per portare Astolfo sulla Luna.;sg;idiosyncratic;nominal
;bocca a bocca;idiosyncratic;a;bocca;Dopo quel;bocca a bocca;estenuante per rianimare Tom, uno che prende vita per conto suo.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;BOXE , ancora 23 secondi alla fine di questo drammatico terzo round , Poreda cerca di costringere Lawyer alle corde , Lawyer indietreggia , lavora con le gambe , usa il jab per tenere lontano Poreda , 18 secondi , POREDA AVANTI , Lawyer sguscia via sulla sinistra , MA BARCOLLA , POREDA GLI E ADDOSSO , COLPISCE COL DESTRO , A SEGNO , ANCORA CON UN DESTRO AL VOLTO , LAWYER VA IN CLINCH , SEMBRA ESAUSTO , POREDA NON MOLLA , CERCA LO SPIRAGLIO GIUSTO , LAWYER PROVA A REAGIRE , DESTRO SINISTRO , NON VA A BERSAGLIO , ANCORA DESTRO , COLPO SOTTO LA CINTURA , POREDA PROTESTA , L'ARBITRO FERMA L'AZIONE , AMMONIZIONE A LAWYER , 5 SECONDI , POREDA COME UNA FURIA SU LAWYER , è un;corpo a corpo;FURIBONDO , GONG ED E LA CAMPANA CHE TOGLIE LAWYER DA UNA SITUAZIONE non certo comoda , dopo l ' atterramento che ... Respira .;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"Pronte al primo ballo di gruppo della giornata, si ancheggia sulle note di ""Bella ciao"" versione rap con un occhio malizioso al gruppo di ragazzotti, tutti muscoli e tatuaggi, impegnati qualche metro più in là in una serie di";corpo a corpo;dietro un Supersantos nuovo fiammante.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;La ragazza stava cercando a fatica di chiudere un panciuto borsone, appoggiandovisi con tutto il suo peso, in una specie di;corpo a corpo;dall'esito incerto.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Che errore accettare il duello rusticano imposto dall'Atletico, farsi irretire poco alla volta da quella saga di marcature feroci, di;corpo a corpo;ininterrotti, di gomiti alti dall'una e dall'altra parte.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;«Ti ha mai detto qualcosa mentre eravate in;corpo a corpo;»?;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Sì, sono stato ferito di spada in;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"Un'energia creativa e corporale che, secondo il critico, trova una corrispondenza, al di là dell'oceano, con l'avanguardia dell'Action Painting proclamata da Jackson Pollock: ""Lì il pittore si dislocava intorno alla tela per intervenire in una sorta di";corpo a corpo;", sviluppando un linguaggio pittorico frutto di un'azione irruenta, veloce, dinamica"".";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Capaci di sopravvivere con l'espediente, di lottare nel;corpo a corpo;o di utilizzare semplici magie, vennero radunati in un'unica congregazione, creata dal bardo Jienn, con sede a Jensys.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;È valido solo nel ;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;STILE è lo stile di combattimento attualmente adottato nel;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Gli unni però, perso il vantaggio della forza d'urto della cavalleria, si videro imprigionati in un;corpo a corpo;che premiava la pesantezza dell'equipaggiamento difensivo e offensivo romano.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"Per far ciò si può scegliere fra tre classi di personaggi: il guerriero, il mago e il ""rogue"" (che in italiano potremmo tradurre alla larga con ""furfante""), ognuno con i suoi punti di forza e le sue debolezze (il guerriero è forte nel";corpo a corpo;, ma se la cava male con la magia, il rogue preferisce le armi da lancio ecc).;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;È il carattere di questa fine secolo: un;corpo a corpo;tra universalismo e tribalismo.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;In un vicolo di qualche slum del Terzo Mondo potrebbe nascondersi un gigante abbastanza robusto da batterlo in un;corpo a corpo;, il miglior lottatore del pianeta potrebbe magari resistere ai suoi colpi abbastanza a lungo da immobilizzarlo e un esperto in arti marziali di qualche remota palestra sarebbe forse ingradodi sorprenderlo con mosse impreviste.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Di tutti i sensi l'olfatto è forse il più intransigente e il naso può diventare decisivo in quel;corpo a corpo;che è, in definitiva, l'atto sessuale.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E certamente, in ogni caso, da questo contatto ne esci con una dignità consolidata, con una consapevolezza che ancora non possedevi, con una voglia e una volontà accresciute, e nuove armi, insomma, nuove munizioni per l'esercizio di quel difficile mestiere, per quell'autentico;corpo a corpo;con se stessi che è la scrittura.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E il confronto è sviluppato su tutte le distanze: corta (nel;corpo a corpo;), media (gomiti e ginocchia) e lunga (colpi con braccia e gambe).;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Subire il;corpo a corpo; con un tempo di lavoro che quotidianamente insidia e invade il tempo di vita, con uno spazio che si fa liquido e mutevole non più definito dagli stabili confini della fabbrica.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Animati da una energia psichica e creativa nuova, in un;corpo a corpo;, questi fotografi sviluppano immagini nuove, frutto di sopraffazioni, persecuzioni, raggiramenti, compiuti in movimento, di corsa o a cavallo della moto, durante le ronde notturne.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Più in generale, dunque, assisteremo a un;corpo a corpo;tra computer - sottiletta e telefonini - cervellone, entrambi in lotta per aggiudicarsi il primato come apparecchio elettronico di riferimento.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Qualcuno prevede che farà un buco nell'acqua e si troverà impantanato in un;corpo a corpo;con i partiti ulivisti.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"Sotto quel sole ""invisibile, freddo, calvinista ed eretico"" è tutto uno scintillare di picche, lance, moschetti, morioni, archibugi; le battaglie sono polvere, onore, sangue,";corpo a corpo;", dolore e destino; e l'avventura è l'avventura, come sempre in Pérez - Reverte.";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Mi piacciono tutti e quattro, ma la sensazione del primo... Il;corpo a corpo;con Nesta, un confronto dal quale esco vincitore: bellissimo.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Quella del regista cinematografico interpretato da Ennio Fantastichini, impegnato nel;corpo a corpo;"con il proprio ""demone"" che, giunto egli al centro anagrafico e professionale della vita, non gli dà pace.";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Cerca il;corpo a corpo;con Del Piero, fatica, ma ottiene spesso buoni risultati.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Si è barricato nel suo tugurio, impegnato in un interminabile;corpo a corpo;con la suscettibile divinità cibernetica.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Particolarmente dotati come uccisori, più utili dei cecchini perché quanto imbattibili nei;corpo a corpo;"e nei combattimenti casa per casa, spesso uccidevano in modo crudele, lui ad esempio era noto in quella zona del fronte di Stalingrado con l'appellativo di ""Sergente Mannaia'', inquanto questa era la sua arma preferita, strumento pratico e utilissimo quando nell'attaccare le trincee nemiche occorreva combattere all'arma bianca.";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Al fuoco della pistola, Fortunato preferì il;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E una volta messe in chiaro le cose lì, nel;corpo a corpo;, hanno iniziato a giocare il loro rugby di qualità superiore.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Joey che lottava contro il divano, mentre due uomini ingaggiavano un;corpo a corpo;con lui.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Talvolta la vecchia ostilità di Retancourt nei confronti di Adamsberg tornava a riaffiorare alla superficie dei loro rapporti, benché il loro contenzioso si fosse risolto in Qué bec, in uno straordinario;corpo a corpo;che aveva realizzato una fusione per tutta la vita tra il tenente e il suo commissario.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;A volte, e dopo il;corpo a corpo;che aveva salvato le loro due vite, il commissario e il tenente cambiavano registro come un treno cambia binario, passando al tu della complicità intima e definitiva.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Nel;corpo a corpo;"per lavarci i capelli, mamma canticchiava: ""Nell'Italia, e dei Rossetti, no se parla no se parla che italian"".";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Gli scontri, compresi violenti;corpo a corpo;, avvengono all'interno di villa Doria Pamphili e lungo l'Aurelia.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Era Marlon Brando, mica Pippo Inzaghi, che si avventava su Vivien Leigh: «Vuoi un;corpo a corpo;? È questo che vuoi? Ti accontento».;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"Tutt'intorno, uno scenario da incubo: due donne ferite che gemevano in un lago di sangue, i clienti del supermercato ""Panorama"", sulla Tiburtina, che scappavano terrorizzati, un vigilante con la divisa insanguinata, pallido come un morto dopo un furioso";corpo a corpo;con l'uomo del coltello.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;La maglia rosa passa sulle spalle di Alexandre Vinokourov: oggi la gara è stata un tremendo;corpo a corpo;, l'ideale per un duro come il kazako.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Ma questo ha coinciso anche con una lotta, una lotta quotidiana, un;corpo a corpo;silenzioso, come un combattimento ombra.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;A braccia larghe venne addosso per il;corpo a corpo;, feci la mossa di sollevarmi in tutta la statura, lui alzò la testa per guardarmi in faccia ed ebbe in pieno il rimbalzo di luce che cercavo.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Ma i capelli corti erano per impedire che qualcuno avesse modo di afferrarla durante un;corpo a corpo;, l'espressione severa rappresentava una distanza da mantenere, incrociare le braccia poteva significare insicurezza, toccare una persona serviva a trasmettere un senso di protezione e instaurare un rapporto di confidenza necessario per farla aprire e confidare.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Aveva continuato a corteggiarle per abitudine, sfinendole in estenuanti;corpo a corpo;telefonici.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Allora in quel caso tutti gli schemi saltano, tutto quello che c'è stato primadel;corpo a corpo;con la regina degli sport sono stati come innocui bacetti formali dati ai cugini o ai nonni.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Avrei voluto vedere te, impegnato in un;corpo a corpo;con 210 Bloddeuwedd.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Ma, dicono le cronache, amava il marito, il loro era un interminabile testa a testa, un;corpo a corpo;infinito, struggente.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Al;corpo a corpo;c'è mancato un pelo.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Perché il Biarritz ha giocato con la squadra vera, acominciareda capitan Harinordoquy, perché in Heineken nessuno scherza e perché gli 80 minuti sono stati un durissimo;corpo a corpo;risolto solo a 2 minuti dalla fine da un drop di Laharrague (ex Biarritz).;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;La veglia notturna, per lungo tratto, è diventata un esercizio riservato alla liturgia monastica, con quelle alzatacce nel cuore della notte, alla luce fioca delle candele, quel prendersi cura del tempo dell'oblio attraverso un;corpo a corpo;tenero e spigoloso con Dio.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;La solitudine di un uomo che, applicando le leggi, incrocia il;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E aggiungo: l'impegno deve essere un;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"A mezzanotte e un quarto avanzò anche Cutty con due compagnie, dopo aver constatato che il terreno difrontea sé non era minato: da quella parte gli egiziani non si aspettavano un attacco, e i loro obici continuarono a sparare lontano finoa quando gli artiglieri non si ritrovarono i soldati nemici addosso; dopo un";corpo a corpo;di due ore, le prime due trincee erano nelle mani degli israeliani, e un'ora dopo la terza veniva attaccata dalla compagnia di riserva di Cutty.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Capirei con un pugnale o un'ascia in un;corpo a corpo;come tra due gladiatori di specie diverse e ugualmente potenti, ma da un casotto in cui si nasconde il vile cacciatore munito di veri e propri cannoni che oltretutto si confronta con delle anatre o delle allodole!;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Nei giorni seguenti la Comune si era spenta, con un ultimo;corpo a corpo;all'arma bianca nel cimitero del Père - Lachaise.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Armi da fuoco e da taglio,;corpo a corpo;, esplosivi.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;A giudicare dallo sguardo, anche l'istruttore amante del;corpo a corpo;e delle armi da taglio se n'era reso conto.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Vuoi un;corpo a corpo;, eh? Va bene, ti accontento.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Allora Rambo spegne di nuovo la luce, prende il sacchetto e gli va incontro, petto contro petto lo spinge fuori e questo;corpo a corpo;non gli fa nessun effetto, nessun fremito sotto la pelle, solo lo scontro primitivo fra esseri umani.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Flavus notò che il ragazzo chiamato Germanico era adesso duramente impegnato in un;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Sergio Vetilio riprese il suo racconto: «Crasso schierò i suoi in un blocco compatto che divenne così ancora più facile da accerchiare per i nemici che non ingaggiavano mai il;corpo a corpo;ma sempre colpivano da lontano e poi si disimpegnavano.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Gli attivisti sono arrivati quasi al;corpo a corpo;"con il deputato gridandogli ""venduto"" e accusandolo per la sua scelta di lasciare il Movimento, insiemead altri nove parlamentari, alla vigilia del voto per il Colle.";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Eravamo tutt'e due quello che i pugili chiamano dei «ghiottoni» (un termine dello slang sportivo che designava chi non ha paura del;corpo a corpo;, e si lascia massacrare piuttosto che arrendersi).;sg;idiosyncratic;nominal
