NPN;token_frequency;preposition;reduplicated_noun;number_of_noun;syntactic_function;meaning;
abitazione per abitazione;1;per;abitazione;sg;modifier;succession/iteration/distributivity;
aborti su aborti;1;su;aborto;pl;nominal;greater_plurality/accumulation;
acciaio contro acciaio;2;contro;acciaio;sg;modifier;juxtaposition/contact;
acciaio su acciaio;1;su;acciaio;sg/pl;nominal;greater_plurality/accumulation;
accusa dopo accusa;1;dopo;accusa;sg;modifier;succession/iteration/distributivity;
accusa su accusa;1;su;accusa;sg;modifier;succession/iteration/distributivity;
accuse su accuse ;1;su;accusa;pl;nominal;greater_plurality/accumulation;
acino per acino;1;per;acino;sg;modifier;succession/iteration/distributivity;
acqua su acqua;1;su;acqua;sg;nominal;greater_plurality/accumulation;
aerei su aerei;1;su;aereo;pl;nominal;greater_plurality/accumulation;
agenzia per agenzia;1;per;agenzia;sg;modifier;succession/iteration/distributivity;
aggettivo su aggettivo;1;su;aggettivo;sg;modifier;succession/iteration/distributivity;
aggiornamento dopo aggiornamento;1;dopo;aggiornamento;sg;modifier;succession/iteration/distributivity;
ago per ago;1;per;ago;sg;modifier;succession/iteration/distributivity;
ala contro ala;2;contro;ala;sg;modifier;juxtaposition/contact;
albero dopo albero;2;dopo;albero;sg;modifier;succession/iteration/distributivity;
albero per albero;1;per;albero;sg;modifier;succession/iteration/distributivity;
ambiente per ambiente;2;per;ambiente;sg;modifier;succession/iteration/distributivity;
anello dentro anello;1;dentro;anello;sg;modifier;succession/iteration/distributivity;
anello dopo anello;3;dopo;anello;sg;modifier;succession/iteration/distributivity;
angolo dopo angolo;2;dopo;angolo;sg;modifier;succession/iteration/distributivity;
angolo per angolo;3;per;angolo;sg;modifier;succession/iteration/distributivity;
anima ad anima;1;a;anima;sg;modifier;juxtaposition/contact;
anni dopo anni;1;dopo;anno;pl;nominal;greater_plurality/accumulation;
anno dopo anno;299;dopo;anno;sg;modifier;succession/iteration/distributivity;
anno per anno;94;per;anno;sg;modifier;succession/iteration/distributivity;
anno su anno;17;su;anno;sg;modifier;connection/transition;
annuncio dopo annuncio;1;dopo;annuncio;sg;modifier;succession/iteration/distributivity;
appalti su appalti;1;su;appalto;pl;nominal;greater_plurality/accumulation;
appalto dopo appalto;1;dopo;appalto;sg;modifier;succession/iteration/distributivity;
appartamento per appartamento;2;per;appartamento;sg;modifier;succession/iteration/distributivity;
applauso per applauso;1;per;applauso;sg;modifier;succession/iteration/distributivity;
appuntamento dopo appuntamento;1;dopo;appuntamento;sg;modifier;succession/iteration/distributivity;
appunti su appunti;1;su;appunto;pl;nominal;greater_plurality/accumulation;
arcata dopo arcata;1;dopo;arcata;sg;modifier;succession/iteration/distributivity;
arco dopo arco;1;dopo;arco;sg;modifier;succession/iteration/distributivity;
area per area;3;per;area;sg;modifier;succession/iteration/distributivity;
argomento dopo argomento;1;dopo;argomento;sg;modifier;succession/iteration/distributivity;
argomento per argomento;2;per;argomento;sg;modifier;succession/iteration/distributivity;
aria su aria;1;su;aria;sg;nominal;greater_plurality/accumulation;
arpeggio dopo arpeggio;1;dopo;arpeggio;sg;modifier;succession/iteration/distributivity;
articoli su articoli;1;su;articolo;pl;nominal;greater_plurality/accumulation;
articolo dopo articolo;1;dopo;articolo;sg;modifier;succession/iteration/distributivity;
articolo per articolo;21;per;articolo;sg;modifier;succession/iteration/distributivity;
arto dopo arto;1;dopo;arto;sg;modifier;succession/iteration/distributivity;
ascolto dopo ascolto;1;dopo;arto;sg;modifier;succession/iteration/distributivity;
asola per asola;1;per;asola;sg;modifier;succession/iteration/distributivity;
aspetto per aspetto;1;per;aspetto;sg;modifier;succession/iteration/distributivity;
assalti su assalti;2;su;assalto;pl;nominal;greater_plurality/accumulation;
assenza per assenza;1;per;assenza;sg;clause;inescapable_presupposition;
assist dopo assist;1;dopo;assist;sg;modifier;succession/iteration/distributivity;
assolo dopo assolo;1;dopo;assolo;sg;modifier;succession/iteration/distributivity;
atomo dopo atomo;3;dopo;atomo;sg;modifier;succession/iteration/distributivity;
atomo per atomo;10;per;atomo;sg;modifier;succession/iteration/distributivity;
atomo su atomo;1;su;atomo;sg;modifier;succession/iteration/distributivity;
attacco per attacco;1;per;attacco;sg;modifier;succession/iteration/distributivity;
attimo dopo attimo;17;dopo;attimo;sg;modifier;succession/iteration/distributivity;
attimo per attimo;18;per;attimo;sg;modifier;succession/iteration/distributivity;
auto per auto;1;per;auto;sg;modifier;succession/iteration/distributivity;
automobile dopo automobile;1;dopo;automobile;sg;modifier;succession/iteration/distributivity;
autore dopo autore;1;dopo;autore;sg;modifier;succession/iteration/distributivity;
avambraccio contro avambraccio;1;contro;avambraccio;sg;modifier;juxtaposition/contact;
avanspettacolo per avanspettacolo;1;per;avanspettacolo;sg;clause;inescapable_presupposition;
avventure su avventure;1;su;avventura;pl;nominal;greater_plurality/accumulation;
avversari su avversari;2;su;avversario;pl;nominal;greater_plurality/accumulation;
azienda dopo azienda;1;dopo;azienda;sg;modifier;succession/iteration/distributivity;
azienda per azienda;12;per;azienda;sg;modifier;succession/iteration/distributivity;
azione dopo azione;1;dopo;azione;sg;modifier;succession/iteration/distributivity;
azzardo per azzardo;1;per;azzardo;sg;clause;inescapable_presupposition;
bagni su bagni;1;su;bagno;pl;nominal;greater_plurality/accumulation;
balle su balle;4;su;balla;pl;nominal;greater_plurality/accumulation;
ballo dopo ballo;1;dopo;ballo;sg;modifier;succession/iteration/distributivity;
banca per banca;7;per;banca;sg;modifier;succession/iteration/distributivity;
banca su banca;1;su;banca;sg;modifier;connection/transition;
banco dopo banco;1;dopo;banco;sg;modifier;succession/iteration/distributivity;
bar dopo bar;1;dopo;bar;sg;modifier;succession/iteration/distributivity;
barzellette su barzellette;1;su;barzelletta;pl;nominal;greater_plurality/accumulation;
battaglione dopo battaglione;1;dopo;battaglione;sg;modifier;succession/iteration/distributivity;
battaglione per battaglione;1;per;battaglione;sg;modifier;succession/iteration/distributivity;
battuta per battuta;2;per;battuta;sg;modifier;succession/iteration/distributivity;
battute su battute;1;su;battuta;pl;nominal;greater_plurality/accumulation;
bellezza su bellezza;1;su;bellezza;sg;nominal;greater_plurality/accumulation;
beni su beni;1;su;bene;pl;nominal;greater_plurality/accumulation;
bersaglio su bersaglio;1;su;bersaglio;sg;nominal;greater_plurality/accumulation;
