construction;preposition;lemma;pos;meaning;Masini_freq;dataset_freq
Italia su Italia;su;Italia;sg;modifier;connection/transition;1;0
Schiantesimi su Schiantesimi;su;schiantesimi;pl;nominal;greater_plurality/accumulation;1;0
Svizzera su Svizzera;su;Svizzera;sg;modifier;connection/transition;2;0
aborti su aborti;su;aborto;pl;nominal;greater_plurality/accumulation;1;1
acciaio su acciaio;su;acciaio;sg/pl;nominal;greater_plurality/accumulation;1;1
accusa su accusa;su;accusa;sg;modifier;succession/iteration/distributivity;1;1
accuse su accuse ;su;accusa;pl;nominal;greater_plurality/accumulation;1;0
accuse su accuse;su;accusa;pl;nominal;greater_plurality/accumulation;0;1
acqua su acqua;su;acqua;sg;nominal;greater_plurality/accumulation;1;1
aerei su aerei;su;aereo;pl;nominal;greater_plurality/accumulation;1;1
aggettivo su aggettivo;su;aggettivo;sg;modifier;succession/iteration/distributivity;1;1
anima ad anima;a;anima;sg;modifier;juxtaposition/contact;1;1
anno su anno;su;anno;sg;modifier;connection/transition;17;16
appalti su appalti;su;appalto;pl;nominal;greater_plurality/accumulation;1;1
appunti su appunti;su;appunto;pl;nominal;greater_plurality/accumulation;1;1
aria su aria;su;aria;sg;nominal;greater_plurality/accumulation;1;1
articoli su articoli;su;articolo;pl;nominal;greater_plurality/accumulation;1;1
assalti su assalti;su;assalto;pl;nominal;greater_plurality/accumulation;2;2
atomo su atomo;su;atomo;sg;modifier;succession/iteration/distributivity;1;1
avventure su avventure;su;avventura;pl;nominal;greater_plurality/accumulation;1;1
avversari su avversari;su;avversario;pl;nominal;greater_plurality/accumulation;2;2
bagni su bagni;su;bagno;pl;nominal;greater_plurality/accumulation;1;1
balcone a balcone;a;balcone;sg;modifier;juxtaposition/contact;0;2
balle su balle;su;balla;pl;nominal;greater_plurality/accumulation;4;4
banca su banca;su;banca;sg;modifier;connection/transition;1;1
barzellette su barzellette;su;barzelletta;pl;nominal;greater_plurality/accumulation;1;1
battute su battute;su;battuta;pl;nominal;greater_plurality/accumulation;1;1
bellezza su bellezza;su;bellezza;sg;nominal;greater_plurality/accumulation;1;1
beni su beni;su;bene;pl;nominal;greater_plurality/accumulation;1;1
bersaglio su bersaglio;su;bersaglio;sg;nominal;greater_plurality/accumulation;1;1
bianco su bianco;su;bianco;sg;modifier;juxtaposition/contact;5;4
bianco su bianco;su;bianco;sg;modifier;not postulated;0;1
bianco su bianco;su;bianco;sg;nominal;greater_plurality/accumulation;1;1
bicchiere su bicchiere;su;bicchiere;sg;modifier;succession/iteration/distributivity;1;1
bisogni su bisogni;su;bisogno;pl;nominal;greater_plurality/accumulation;1;1
bit a bit;a;bit;sg;modifier;succession/iteration/distributivity;5;3
bocca a bocca;a;bocca;sg;modifier;juxtaposition/contact;68;61
bocca a bocca;a;bocca;sg;nominal;idiosyncratic;3;3
borotalco su borotalco;su;borotalco;sg;nominal;greater_plurality/accumulation;1;1
bottiglie su bottiglie;su;bottiglia;pl;nominal;greater_plurality/accumulation;1;1
bozzi su bozzi;su;bozzo;pl;nominal;greater_plurality/accumulation;1;1
braccio a braccio;a;braccio;sg;modifier;juxtaposition/contact;1;1
brandello su brandello;su;brandello;sg;modifier;succession/iteration/distributivity;1;1
brani su brani;su;brano;pl;nominal;greater_plurality/accumulation;1;1
brano a brano;a;brano;sg;modifier;succession/iteration/distributivity;5;4
bugie su bugie;su;bugia;pl;nominal;greater_plurality/accumulation;1;0
caffè su caffè;su;caffè;sg/pl;nominal;greater_plurality/accumulation;1;1
cambiali su cambiali;su;cambiale;pl;nominal;greater_plurality/accumulation;1;1
campi su campi;su;campo;pl;nominal;greater_plurality/accumulation;1;1
campo a campo;a;campo;sg;modifier;succession/iteration/distributivity;0;1
canzone su canzone;su;canzone;sg;modifier;succession/iteration/distributivity;1;1
capelli su capelli;su;capello;pl;modifier;juxtaposition/contact;1;1
capolavori su capolavori;su;capolavoro;pl;nominal;greater_plurality/accumulation;1;1
caraffe su caraffe;su;caraffa;pl;nominal;greater_plurality/accumulation;1;1
carte su carte;su;carta;pl;nominal;greater_plurality/accumulation;2;2
casa a casa;a;casa;sg;modifier;succession/iteration/distributivity;0;1
case su case;su;casa;pl;nominal;greater_plurality/accumulation;1;1
casi su casi;su;caso;pl;nominal;greater_plurality/accumulation;1;1
casse su casse;su;cassa;pl;nominal;greater_plurality/accumulation;2;2
cassette su cassette;su;cassetta;pl;nominal;greater_plurality/accumulation;1;1
cazzate su cazzate;su;cazzata;pl;nominal;greater_plurality/accumulation;1;1
cene su cene;su;cena;pl;nominal;greater_plurality/accumulation;1;1
centesimo su centesimo;su;centesimo;sg;modifier;succession/iteration/distributivity;1;1
centimetro su centimetro;su;centimetro;sg;modifier;succession/iteration/distributivity;1;1
cerchio su cerchio;su;cerchio;sg;modifier;succession/iteration/distributivity;1;1
certificati su certificati;su;certificato;pl;nominal;greater_plurality/accumulation;1;1
chiacchiere su chiacchiere;su;chiacchera;pl;nominal;greater_plurality/accumulation;1;0
chiacchiere su chiacchiere;su;chiacchiera;pl;nominal;greater_plurality/accumulation;0;1
chiamate su chiamate;su;chiamata;pl;nominal;greater_plurality/accumulation;1;1
chilometri su chilometri;su;chilometro;pl;nominal;greater_plurality/accumulation;4;4
chilometro su chilometro;su;chilometro;sg;modifier;succession/iteration/distributivity;1;1
cifre su cifre;su;cifra;pl;nominal;greater_plurality/accumulation;2;2
ciocca a ciocca;a;ciocca;sg;modifier;succession/iteration/distributivity;1;1
circonferenze su circonferenze;su;circonferenza;pl;nominal;greater_plurality/accumulation;1;1
citazioni su citazioni;su;citazione;pl;nominal;greater_plurality/accumulation;1;0
citazioni su citazioni;su;citazioni;pl;nominal;greater_plurality/accumulation;0;1
cm a cm;a;cm;sg;modifier;succession/iteration/distributivity;0;1
colloqui su colloqui;su;colloquio;pl;nominal;greater_plurality/accumulation;1;1
colore su colore;su;colore;sg;modifier;juxtaposition/contact;1;1
colpi su colpi;su;colpo;pl;nominal;greater_plurality/accumulation;1;1
colpo su colpo;su;colpo;sg;modifier;succession/iteration/distributivity;58;59
colpo su colpo;su;colpo;sg;nominal;greater_plurality/accumulation;7;7
comandi su comandi;su;comando;pl;nominal;greater_plurality/accumulation;1;1
comunicati su comunicati;su;comunicato;pl;nominal;greater_plurality/accumulation;1;1
comunicazioni su comunicazioni;su;comunicazione;pl;nominal;greater_plurality/accumulation;1;1
conti su conti;su;conto;pl;nominal;greater_plurality/accumulation;1;1
controlli su controlli;su;controllo;pl;nominal;greater_plurality/accumulation;2;2
copie su copie;su;copia;pl;nominal;greater_plurality/accumulation;2;2
coppa su coppa;su;coppa;sg;modifier;succession/iteration/distributivity;1;1
coppe su coppe;su;coppa;pl;nominal;greater_plurality/accumulation;1;1
core a core;a;core;sg;modifier;juxtaposition/contact;1;0
corna su corna;su;corna;pl;nominal;greater_plurality/accumulation;1;1
corpi su corpi;su;corpo;pl;nominal;greater_plurality/accumulation;1;1
corpo a corpo;a;corpo;sg;modifier;juxtaposition/contact;50;47
corpo a corpo;a;corpo;sg;nominal;idiosyncratic;152;146
corsi su corsi;su;corso;pl;nominal;greater_plurality/accumulation;1;1
coscia su coscia;su;coscia;sg;modifier;juxtaposition/contact;1;1
crediti su crediti;su;credito;pl;nominal;greater_plurality/accumulation;2;2
creme su creme;su;crema;pl;nominal;greater_plurality/accumulation;2;2
crosta su crosta;su;crosta;sg;modifier;succession/iteration/distributivity;1;1
cuoio su cuoio;su;cuoio;sg;modifier;juxtaposition/contact;1;0
cuore a cuore;a;cuore;sg;modifier;juxtaposition/contact;4;4
cure su cure;su;cura;pl;nominal;greater_plurality/accumulation;1;1
curve su curve;su;curva;pl;nominal;greater_plurality/accumulation;1;1
danni su danni;su;danno;pl;nominal;greater_plurality/accumulation;2;1
dati su dati;su;dato;pl;nominal;greater_plurality/accumulation;2;2
debiti su debiti;su;debito;pl;nominal;greater_plurality/accumulation;1;1
debito su debito;su;debito;sg;nominal;greater_plurality/accumulation;1;0
decine su decine;su;decina;pl;nominal;greater_plurality/accumulation;1;1
delegazioni su delegazioni;su;delegazione;pl;nominal;greater_plurality/accumulation;1;1
denunce su denunce;su;denuncia;pl;nominal;greater_plurality/accumulation;2;2
descrizioni su descrizioni;su;descrizione;pl;nominal;greater_plurality/accumulation;1;1
dettagli su dettagli;su;dettaglio;pl;nominal;greater_plurality/accumulation;1;1
dettaglio su dettaglio;su;dettaglio;sg;modifier;succession/iteration/distributivity;2;2
dicembre su dicembre;su;dicembre;sg;modifier;connection/transition;2;2
dichiarazione su dichiarazione;su;dichiarazione;sg;modifier;succession/iteration/distributivity;1;1
dichiarazioni su dichiarazioni;su;dichiarazione;pl;nominal;greater_plurality/accumulation;2;2
diete su diete;su;dieta;pl;nominal;greater_plurality/accumulation;1;1
digiuno su digiuno;su;digiuno;sg;nominal;greater_plurality/accumulation;1;1
discussioni su discussioni;su;discussione;pl;nominal;greater_plurality/accumulation;2;1
dito a dito;a;dito;sg;modifier;idiosyncratic;1;1
docce su docce;su;doccia;pl;nominal;greater_plurality/accumulation;1;1
dolore su dolore;su;dolore;sg;nominal;greater_plurality/accumulation;1;1
dolori su dolori;su;dolore;pl;nominal;greater_plurality/accumulation;2;2
domande su domande;su;domanda;pl;nominal;greater_plurality/accumulation;0;5
domande su domande;su;domande;pl;nominal;greater_plurality/accumulation;5;0
donna a donna;a;donna;sg;modifier;idiosyncratic;0;1
dorso a dorso;a;dorso;sg;modifier;juxtaposition/contact;2;2
dubbi su dubbi;su;dubbio;pl;nominal;greater_plurality/accumulation;2;2
email su email;su;email;sg/pl;nominal;greater_plurality/accumulation;2;2
emendamenti su emendamenti;su;emendamento;pl;nominal;greater_plurality/accumulation;1;1
episodi su episodi;su;episodio;pl;nominal;greater_plurality/accumulation;1;1
errori su errori;su;errore;pl;nominal;greater_plurality/accumulation;4;4
esami su esami;su;esame;pl;nominal;greater_plurality/accumulation;3;3
esempi su esempi;su;esempio;pl;nominal;greater_plurality/accumulation;1;1
esercizi su esercizi;su;esercizio;pl;nominal;greater_plurality/accumulation;1;1
estate su estate;su;estate;sg;modifier;connection/transition;1;1
estati su estati;su;estate;pl;nominal;greater_plurality/accumulation;1;1
estero su estero;su;estero;sg;modifier;connection/transition;11;23
euro su euro;su;euro;sg/pl;modifier;succession/iteration/distributivity;1;1
euro su euro;su;euro;sg/pl;nominal;greater_plurality/accumulation;1;1
fabbriche su fabbriche;su;fabbrica;pl;nominal;greater_plurality/accumulation;1;1
facce su facce;su;faccia;pl;nominal;greater_plurality/accumulation;1;1
faccia a faccia;a;faccia;sg;modifier;juxtaposition/contact;462;462
faccia a faccia;a;faccia;sg;nominal;idiosyncratic;455;409
falange su falange;su;falange;sg;modifier;succession/iteration/distributivity;1;1
fascicoli su fascicoli;su;fascicolo;pl;nominal;greater_plurality/accumulation;1;1
febbraio su febbraio;su;febbraio;sg;modifier;connection/transition;1;1
ferita su ferita;su;ferita;sg;modifier;succession/iteration/distributivity;1;0
feste su feste;su;festa;pl;nominal;greater_plurality/accumulation;1;1
fianco a fianco;a;fianco;sg;modifier;juxtaposition/contact;355;350
fianco a fianco;a;fianco;sg;nominal;idiosyncratic;1;1
fiato a fiato;a;fiato;sg;modifier;juxtaposition/contact;1;1
fibra a fibra;a;fibra;sg;modifier;succession/iteration/distributivity;2;2
file su file;su;file;pl;nominal;greater_plurality/accumulation;3;3
fili su fili;su;fili;pl;nominal;greater_plurality/accumulation;0;1
fili su fili;su;filo;pl;nominal;greater_plurality/accumulation;1;0
finanza su finanza;su;finanza;sg;modifier;connection/transition;1;1
fiocchi su fiocchi;su;fiocco;pl;nominal;greater_plurality/accumulation;1;0
fiocco a fiocco;a;fiocco;sg;modifier;succession/iteration/distributivity;1;2
fogli su fogli;su;foglio;pl;nominal;greater_plurality/accumulation;8;9
foglia a foglia;a;foglia;sg;modifier;succession/iteration/distributivity;2;1
forchettata su forchettata;su;forchettata;sg;modifier;succession/iteration/distributivity;1;1
formule su formule;su;formula;pl;nominal;greater_plurality/accumulation;1;1
foto su foto;su;foto;sg/pl;nominal;greater_plurality/accumulation;3;3
fotogramma a fotogramma;a;fotogramma;sg;modifier;succession/iteration/distributivity;0;1
frase su frase;su;frase;sg;modifier;succession/iteration/distributivity;2;2
